no_ste;no_unit_cond;cd_emp;no_int_clg;dte_hre_crea;dte_hre_modif;aut_modif;typ_unit;qte;cd_lot;no_ext_unit_cond;cd_art;ind_pr_art;des_art_a;nrm_art_a;nrm_art_b;cd_art;des_art_a;ind_pr_art;cd_serie;dte_hre_crea;dte_hre_modif;dte_hre_entree;cpt_bnliv;cpt_bn_liv;no_ligne
1;2169453;ACF;;01/02/2022 09:48;01/02/2022 09:48;CFO;E;8;OF34619;2169453;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651096;01/02/2022 10:06;01/02/2022 10:06;01/02/2022 09:48;;;101
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186613;01/02/2022 10:04;01/02/2022 10:04;01/02/2022 10:04;;;104
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186612;01/02/2022 10:04;01/02/2022 10:04;01/02/2022 10:04;;;104
1;2169453;ACF;;01/02/2022 09:48;01/02/2022 09:48;CFO;E;8;OF34619;2169453;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651100;01/02/2022 10:01;01/02/2022 10:01;01/02/2022 09:48;;;101
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186611;01/02/2022 10:00;01/02/2022 10:00;01/02/2022 10:04;;;104
1;2169453;ACF;;01/02/2022 09:48;01/02/2022 09:48;CFO;E;8;OF34619;2169453;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651099;01/02/2022 09:58;01/02/2022 09:58;01/02/2022 09:48;;;101
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186609;01/02/2022 09:56;01/02/2022 09:56;01/02/2022 10:04;;;104
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186607;01/02/2022 09:56;01/02/2022 09:56;01/02/2022 10:04;;;104
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186608;01/02/2022 09:56;01/02/2022 09:56;01/02/2022 10:04;;;104
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186610;01/02/2022 09:58;01/02/2022 09:58;01/02/2022 10:04;;;104
1;2169453;ACF;;01/02/2022 09:48;01/02/2022 09:48;CFO;E;8;OF34619;2169453;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651097;01/02/2022 09:54;01/02/2022 09:54;01/02/2022 09:48;;;101
1;2169453;ACF;;01/02/2022 09:48;01/02/2022 09:48;CFO;E;8;OF34619;2169453;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651098;01/02/2022 09:55;01/02/2022 09:55;01/02/2022 09:48;;;101
1;2169454;ACF;;01/02/2022 10:04;01/02/2022 10:04;CFO;C;8;OF34627;2169454;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186605;01/02/2022 09:53;01/02/2022 09:53;01/02/2022 10:04;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186604;01/02/2022 09:49;01/02/2022 09:49;01/02/2022 09:51;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186603;01/02/2022 09:49;01/02/2022 09:49;01/02/2022 09:51;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186606;01/02/2022 09:51;01/02/2022 09:51;01/02/2022 09:51;;;104
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651095;01/02/2022 09:48;01/02/2022 09:48;01/02/2022 09:48;;;101
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186602;01/02/2022 09:44;01/02/2022 09:44;01/02/2022 09:51;;;104
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651094;01/02/2022 09:44;01/02/2022 09:44;01/02/2022 09:48;;;101
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186601;01/02/2022 09:43;01/02/2022 09:43;01/02/2022 09:51;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186600;01/02/2022 09:43;01/02/2022 09:43;01/02/2022 09:51;;;104
